operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
APRR,ALLAINES,GENDREY,1,50.00,384.00,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,GERZAT-VILLE,1,34.10,316.22,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,GROISSIAT,1,62.00,491.87,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,GYE,1,52.80,426.33,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,JOIGNY,1,27.30,134.82,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,L ISLE-S/LE-DOUBS,1,57.00,460.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LA BOISSE,1,63.10,512.45,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LA BOISSE - MONTLUEL,1,60.70,490.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LA COTIERE,1,61.50,496.88,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LA CROIX-CHALON,1,60.20,477.27,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LANGRES NORD,1,42.20,317.82,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LANGRES SUD,1,43.00,324.47,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LE MIROIR,1,54.60,433.66,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,LES EPRUNES,1,34.50,220.84,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MACON NORD,1,51.10,387.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MACON SUD,1,52.00,398.25,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MAGNANT,1,36.60,240.65,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MAROLLES-SUR-SEINE,1,31.00,172.45,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MONTIGNY-LE-ROI,1,43.90,337.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MONTLUCON,1,27.20,240.68,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,MONTMARAULT,1,28.50,253.28,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,NEMOURS,1,29.30,156.36,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,NITRY,1,32.40,197.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,NUITS-ST-GEORGES,1,45.00,326.22,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,PEROUGES,1,59.10,480.07,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,PONT D AIN,1,56.50,455.25,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,POUILLY-EN-AUXOIS,1,40.20,271.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,REPLONGES,1,51.20,398.77,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,RIOM,1,33.90,310.20,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ROBECOURT,1,45.60,359.88,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SAINT GENIS,1,55.70,488.44,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SAINT MAURICE,1,61.70,500.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SAINT THIBAULT,1,33.90,214.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SEURRE,1,46.20,337.72,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SOIRANS,1,47.60,365.47,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ST AMAND-MONTROND,1,22.20,186.55,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ST MARTIN-DU-FRESNE,1,59.90,471.98,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ST-DENIS-LES-SENS,1,28.00,142.56,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ST-GERMAIN-LAXIS,1,33.40,204.50,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,SYLANS,1,60.60,481.55,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,THENNELIERES,1,35.30,226.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,TIL CHATEL,1,45.50,354.52,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,TORVILLIERS,1,33.40,198.34,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,TOURNUS,1,48.20,362.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,URY,1,30.10,168.19,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VAL DE SAONE,1,58.50,508.79,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VILLE SOUS LAFERTE,1,38.20,268.32,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VILLEFRANCHE-LIMAS,1,58.80,464.22,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VILLEFRANCHE-NORD,1,54.60,428.47,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VILLEFRANCHE-VILLE,1,55.20,433.77,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VILLENEUVE-DONDAGRE,1,26.70,129.55,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VIRIAT,1,53.90,430.44,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,VULAINES,1,31.30,171.30,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,AMBERIEU,1,61.20,491.21,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ARLAY,1,55.30,431.72,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,AUXERRE NORD,1,33.10,189.22,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,AUXERRE SUD,1,33.10,200.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,AVALLON,1,37.30,245.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BALAN,1,62.10,515.24,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BAUME-LES-DAMES,1,58.40,471.72,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BEAUNE NORD,1,45.80,336.67,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,BEAUNE SUD,1,47.10,342.42,2026-02-01,2027-01-31,,,aprr-class1-2026
