name,operator,lat,lon,type
PEAGE DE POUILLY EN AUXOIS,APRR,47.2524848,4.5611717,closed
BEAUNE NORD,APRR,47.0419741,4.850623,closed
BEAUNE SUD,APRR,47.0024231,4.8547961,closed
CHALON NORD,APRR,46.8304241,4.8317434,closed
CHALON CENTRE,APRR,46.8025546,4.829904,closed
CHALON SUD,APRR,46.754768,4.8331365,closed
TOURNUS,APRR,46.5790969,4.9011715,closed
MACON NORD,APRR,46.365966,4.8393236,closed
MACON SUD,APRR,46.2830087,4.7928327,closed
BELLEVILLE SUR SAONE,APRR,46.1038175,4.7502931,closed
VILLEFRANCHE NORD,APRR,46.0223536,4.7220235,closed
VILLEFRANCHE VILLE,APRR,45.9768763,4.7347339,closed
PEAGE DE VILLEFRANCHE LIMAS,APRR,45.9732236,4.7324254,closed
VAL DE LOING SOUPPES,APRR,48.1763227,2.7668025,closed
PEAGE DE VAL DE LOING BARRIERE,APRR,48.1763308,2.7668822,closed
PEAGE DES EPRUNES,APRR,48.5891526,2.65705,closed
ST GERMAIN LAXIS - SAINT GERMAIN LAXIS,APRR,48.5880155,2.7247238,closed
CHATILLON LABORDE,APRR,48.5422046,2.7975037,closed
FORGES,APRR,48.4213725,2.9432973,closed
MAROLLES SUR SEINE,APRR,48.3801783,3.0203703,closed
VULAINES,APRR,48.2377942,3.6012971,closed
TORVILLIERS,APRR,48.2844446,3.965953,closed
ST THIBAULT - SAINT THIBAULT,APRR,48.2233891,4.1297359,closed
MAGNANT,APRR,48.1791079,4.4406086,closed
VILLE SOUS LA FERTE,APRR,48.1149682,4.7855547,closed
CHAUMONT SEMOUTIERS,APRR,48.0428105,5.0592698,closed
THENNELIERES,APRR,48.289342,4.1629475,closed
CHARMONT SOUS BARBUISE,APRR,48.4103294,4.1438377,closed
VALLEE DE L AUBE,APRR,48.5254684,4.1855778,closed
SOMMESOUS,APRR,48.7298276,4.2292654,closed
VATRY,APRR,48.7676355,4.2399554,closed
MONT CHOISY,APRR,48.910712,4.2881712,closed
ST GIBRIEN - SAINT GIBRIEN,APRR,48.9735998,4.2886495,closed
PEAGE DE REIMS EST,APRR,49.2115374,4.0785028,closed
REIMS SUD,APRR,49.2051715,4.0065175,closed
PEAGE REIMS NORD,APRR,49.246236,3.9622758,closed
REIMS OUEST,APRR,49.2496005,3.9558387,closed
DORMANS,APRR,49.153751,3.7169903,closed
CHATEAU THIERRY,APRR,49.0784022,3.3987808,closed
MONTREUIL REIMS - MONTREUIL AUX LIONS,APRR,49.0132565,3.1552689,closed
PEAGE DE MONTREUIL AUX LIONS,APRR,49.0096803,3.1456152,closed
CHALONS LA VEUVE,APRR,49.0428396,4.3217468,closed
ST ETIENNE AU TEMPLE - SAINT ETIENNE AU TEMPLE,APRR,49.0334402,4.4358734,closed
STE MENEHOULD - SAINTE MENEHOULD,APRR,49.0763749,4.8837392,closed
CLERMONT EN ARGONNE,APRR,49.0944409,5.1017163,closed
VOIE SACREE,APRR,49.0938355,5.2784389,closed
VERDUN,APRR,49.1109692,5.4138552,closed
FRESNES EN WOEVRE,APRR,49.1291065,5.6212762,closed
JARNY,APRR,49.1999154,5.9016705,closed
PEAGE DE BEAUMONT,APRR,49.1990129,5.9242368,closed
PEAGE DE GYE,APRR,48.6297148,5.8833117,closed
COLOMBEY LES BELLES,APRR,48.5406483,5.9089246,closed
CHATENOIS SUD - CHATENOIS,APRR,48.2994713,5.8529366,closed
BULGNEVILLE,APRR,48.2157812,5.8325029,closed
ROBECOURT,APRR,48.1460604,5.6874369,closed
MONTIGNY LE ROI,APRR,47.997372,5.5118949,closed
LANGRES NORD,APRR,47.9351554,5.2867691,closed
LANGRES SUD,APRR,47.7923617,5.2262935,closed
TIL CHATEL,APRR,47.5387434,5.1947119,closed
DIJON ARC SUR TILLE,APRR,47.3446742,5.1593268,closed
PEAGE DE DIJON SUD,APRR,47.2612255,5.0333664,closed
NUITS ST GEORGES - NUITS SAINT GEORGES,APRR,47.1309722,4.9672925,closed
SEURRE,APRR,47.0293728,5.1702888,closed
DOLE,APRR,47.1360589,5.5062258,closed
GENDREY,APRR,47.1835108,5.7088685,closed
BESANCON OUEST,APRR,47.2347307,5.8981115,closed
BESANCON NORD,APRR,47.2761169,5.9879716,closed
BESANCON EST,APRR,47.3323071,6.1512694,closed
BAUME LES DAMES,APRR,47.3710062,6.3797317,closed
L ISLE SUR LE DOUBS,APRR,47.4125179,6.5856079,closed
PEAGE DE ST MAURICE,APRR,47.4253686,6.6711249,closed
PEAGE DE DIJON CRIMOLOIS,APRR,47.2769114,5.1379222,closed
SOIRANS,APRR,47.2053403,5.3050035,closed
CHOISEY,APRR,47.0646274,5.4468518,closed
PEAGE DE BERSAILLIN,APRR,46.8492838,5.5745067,closed
ARLAY,APRR,46.7778289,5.5185989,closed
